Period,Region,Dealer,Model,Variant,Factory,Forecast Units,Actual Units,Order Bank Units,Production Capacity Units,Available Slots,Finished Goods Units,Inventory Days,Forecast Version
2025-07,QLD,Northside Motors,Model H,H-STD,Plant 2,46,54,24,420,40,56,35,FY26-Q1-DEMO
2025-07,QLD,Northside Motors,Model H,H-XL,Plant 2,46,42,20,420,40,90,55,FY26-Q1-DEMO
2025-07,QLD,Northside Motors,Model J,J-STD,Plant 1,44,44,20,520,60,58,37,FY26-Q1-DEMO
2025-07,QLD,Northside Motors,Model J,J-PRO,Plant 1,44,44,20,520,60,44,28,FY26-Q1-DEMO
2025-07,QLD,Northside Motors,Model K,K-STD,Plant 3,43,43,20,480,60,59,38,FY26-Q1-DEMO
2025-07,QLD,Northside Motors,Model K,K-LITE,Plant 3,43,43,20,480,60,58,42,FY26-Q1-DEMO
2025-07,QLD,Northside Motors,Model L,L-STD,Plant 1,42,42,20,520,60,20,39,FY26-Q1-DEMO
2025-07,QLD,Northside Motors,Model L,L-MAX,Plant 1,42,42,20,520,60,45,34,FY26-Q1-DEMO
2025-07,QLD,Coastal Equipment,Model H,H-STD,Plant 2,46,54,24,420,40,35,35,FY26-Q1-DEMO
2025-07,QLD,Coastal Equipment,Model H,H-XL,Plant 2,46,42,20,420,40,90,55,FY26-Q1-DEMO
2025-07,QLD,Coastal Equipment,Model J,J-STD,Plant 1,44,44,20,520,60,37,37,FY26-Q1-DEMO
2025-07,QLD,Coastal Equipment,Model J,J-PRO,Plant 1,44,44,20,520,60,23,28,FY26-Q1-DEMO
2025-07,QLD,Coastal Equipment,Model K,K-STD,Plant 3,43,43,20,480,60,38,38,FY26-Q1-DEMO
2025-07,QLD,Coastal Equipment,Model K,K-LITE,Plant 3,43,43,20,480,60,27,42,FY26-Q1-DEMO
2025-07,QLD,Coastal Equipment,Model L,L-STD,Plant 1,42,42,20,520,60,39,39,FY26-Q1-DEMO
